Date of Data: Year,Date of Data: Month,Origin Airport: Alpha Code,Origin Airport: Unique Numeric Code,Destination Airport: Alpha Code,Destination Airport: Numeric Code,Carrier: Alpha Code,Distance,Aircraft Type: Type,Departures Performed,Departures Scheduled,Available Capacity: Payload Pounds,Available Seats,Passengers Transported,Freight Transported,Mail Transported,Ramp in minutes,Airborne in minutes,Quarter
2016,9,MIA,32467,SBD,34691,G3,2275,14,1.0,0,25155.0,177.0,0.0,0.0,0,0,0,3
2016,3,PUJ,34293,FLL,32467,G3,913,14,1.0,0,43560.0,177.0,0.0,0.0,0,0,0,1
2016,2,PUJ,34293,MCO,31454,G3,1064,14,11.0,0,479160.0,1947.0,580.0,0.0,0,0,0,1
2015,10,PUJ,34293,MCO,31454,G3,1064,14,27.0,0,1176120.0,4779.0,3127.0,0.0,0,0,0,4
2015,11,PUJ,34293,MCO,31454,G3,1064,14,17.0,0,740520.0,3009.0,1277.0,0.0,0,0,0,4
2015,12,PUJ,34293,MCO,31454,G3,1064,14,17.0,0,740520.0,3009.0,1773.0,0.0,0,0,0,4
2016,1,PUJ,34293,MCO,31454,G3,1064,14,18.0,0,784080.0,3186.0,2178.0,0.0,0,0,0,1
2015,11,PUJ,34293,MIA,32467,G3,911,14,17.0,0,740520.0,3009.0,1069.0,0.0,0,0,0,4
2015,10,PUJ,34293,MIA,32467,G3,911,14,27.0,0,1176120.0,4779.0,2226.0,0.0,0,0,0,4
2015,12,PUJ,34293,MIA,32467,G3,911,14,18.0,0,784080.0,3186.0,1586.0,0.0,0,0,0,4
2016,2,PUJ,34293,MIA,32467,G3,911,14,9.0,0,392040.0,1593.0,518.0,0.0,0,0,0,1
2016,1,PUJ,34293,MIA,32467,G3,911,14,18.0,0,784080.0,3186.0,2009.0,0.0,0,0,0,1
2016,7,PUJ,34293,MIA,32467,G3,911,14,2.0,0,87120.0,354.0,0.0,0.0,0,0,0,3
2016,4,PUJ,34293,TUS,30436,G3,2801,12,1.0,0,35083.0,138.0,0.0,0.0,0,0,0,2
2016,3,PUJ,34293,TUS,30436,G3,2801,12,1.0,0,35083.0,138.0,0.0,0.0,0,0,0,1
2015,12,PUJ,34293,TUS,30436,G3,2801,12,2.0,0,70167.0,276.0,0.0,0.0,0,0,0,4
2016,2,PUJ,34293,TUS,30436,G3,2801,12,1.0,0,35083.0,138.0,0.0,0.0,0,0,0,1
2017,4,ATL,30397,FAO,31636,G3,4205,14,1.0,0,43560.0,177.0,0.0,0.0,0,0,0,2
2017,2,PUJ,34293,ATL,30397,G3,1436,14,1.0,0,43560.0,177.0,0.0,0.0,0,0,0,1
2018,6,BFI,30559,FLL,32467,G3,2718,14,1.0,0,43560.0,186.0,0.0,0.0,0,0,0,2
2018,8,BFI,30559,PUJ,34293,G3,3615,14,1.0,0,43560.0,186.0,0.0,0.0,0,0,0,3
2018,2,CNF,30610,FLL,32467,G3,3972,12,1.0,0,35083.0,138.0,0.0,0.0,0,0,0,1
2018,9,CNF,30610,FLL,32467,G3,3972,12,2.0,0,70167.0,276.0,0.0,0.0,0,0,0,3
2018,6,FLL,32467,CNF,30610,G3,3972,14,1.0,0,43560.0,186.0,0.0,0.0,0,0,0,2
2018,2,FLL,32467,MZJ,33587,G3,1926,12,1.0,0,35083.0,138.0,0.0,0.0,0,0,0,1
2018,9,FLL,32467,MZJ,33587,G3,1926,12,2.0,0,70167.0,276.0,0.0,0.0,0,0,0,3
2019,2,BFI,30559,MCO,31454,G3,2555,14,1.0,0,43560.0,176.0,0.0,0.0,0,0,0,1
2018,12,BFI,30559,PUJ,34293,G3,3615,14,2.0,0,87120.0,352.0,0.0,0.0,0,0,0,4
2018,10,BFI,30559,PUJ,34293,G3,3615,14,1.0,0,43560.0,186.0,0.0,0.0,0,0,0,4
2018,12,BSB,30758,MCO,31454,G3,3777,14,31.0,0,1350360.0,5456.0,5012.0,0.0,0,0,0,4
2018,11,BSB,30758,MCO,31454,G3,3777,14,26.0,0,1132560.0,4576.0,3845.0,0.0,0,0,0,4
2019,2,BSB,30758,MCO,31454,G3,3777,14,28.0,0,1219680.0,4928.0,3188.0,0.0,0,0,0,1
2019,1,BSB,30758,MCO,31454,G3,3777,14,31.0,0,1350360.0,5456.0,4724.0,0.0,0,0,0,1
2019,3,BSB,30758,MCO,31454,G3,3777,14,14.0,0,609840.0,2464.0,1345.0,0.0,0,0,0,1
2018,11,BSB,30758,MIA,32467,G3,3599,14,27.0,0,1176120.0,4752.0,3625.0,0.0,0,0,0,4
2019,3,BSB,30758,MIA,32467,G3,3599,14,12.0,0,522720.0,2112.0,1117.0,0.0,0,0,0,1
2019,9,BSB,30758,MIA,32467,G3,3599,14,5.0,0,217800.0,880.0,286.0,0.0,0,0,0,3
2018,12,BSB,30758,MIA,32467,G3,3599,14,31.0,0,1350360.0,5456.0,4669.0,0.0,0,0,0,4
2019,1,BSB,30758,MIA,32467,G3,3599,14,31.0,0,1350360.0,5456.0,4649.0,0.0,0,0,0,1
2019,2,BSB,30758,MIA,32467,G3,3599,14,28.0,0,1219680.0,4928.0,2901.0,0.0,0,0,0,1
2019,9,CNF,30610,MIA,32467,G3,3963,12,2.0,0,70167.0,256.0,0.0,0.0,0,0,0,3
2019,2,CNF,30610,MIA,32467,G3,3963,14,3.0,0,130680.0,528.0,0.0,0.0,0,0,0,1
2019,2,CNF,30610,MIA,32467,G3,3963,12,1.0,0,35083.0,128.0,0.0,0.0,0,0,0,1
2018,10,FLL,32467,GWO,32039,G3,785,14,1.0,0,43560.0,186.0,0.0,0.0,0,0,0,4
2019,1,FOR,31730,MCO,31454,G3,3604,14,30.0,0,1306800.0,5280.0,3925.0,0.0,0,0,0,1
2019,9,FOR,31730,MCO,31454,G3,3604,14,1.0,0,43560.0,176.0,61.0,0.0,0,0,0,3
2019,2,FOR,31730,MCO,31454,G3,3604,14,28.0,0,1219680.0,4928.0,2785.0,0.0,0,0,0,1
2018,12,FOR,31730,MCO,31454,G3,3604,14,26.0,0,1132560.0,4576.0,3713.0,0.0,0,0,0,4
2019,4,FOR,31730,MCO,31454,G3,3604,14,1.0,0,43560.0,176.0,64.0,0.0,0,0,0,2
2018,11,FOR,31730,MCO,31454,G3,3604,14,19.0,0,827640.0,3344.0,2709.0,0.0,0,0,0,4
2019,3,FOR,31730,MCO,31454,G3,3604,14,9.0,0,392040.0,1584.0,982.0,0.0,0,0,0,1
2019,7,FOR,31730,MCO,31454,G3,3604,14,9.0,0,392040.0,1584.0,605.0,0.0,0,0,0,3
2019,9,FOR,31730,MIA,32467,G3,3458,14,11.0,0,479160.0,1936.0,963.0,0.0,0,0,0,3
2019,6,FOR,31730,MIA,32467,G3,3458,14,2.0,0,87120.0,352.0,157.0,0.0,0,0,0,2
2019,8,FOR,31730,MIA,32467,G3,3458,14,22.0,0,958320.0,3872.0,2339.0,0.0,0,0,0,3
2019,1,FOR,31730,MIA,32467,G3,3458,14,31.0,0,1350360.0,5456.0,4475.0,0.0,0,0,0,1
2019,2,FOR,31730,MIA,32467,G3,3458,14,28.0,0,1219680.0,4928.0,3065.0,0.0,0,0,0,1
2019,3,FOR,31730,MIA,32467,G3,3458,14,10.0,0,435600.0,1760.0,974.0,0.0,0,0,0,1
2018,11,FOR,31730,MIA,32467,G3,3458,14,7.0,0,304920.0,1232.0,943.0,0.0,0,0,0,4
2018,12,FOR,31730,MIA,32467,G3,3458,14,16.0,0,696960.0,2816.0,2532.0,0.0,0,0,0,4
2019,4,MAO,33166,MIA,32467,G3,2402,14,1.0,0,43560.0,176.0,81.0,0.0,0,0,0,2
2019,9,MCO,31454,BSB,30758,G3,3777,14,1.0,0,43560.0,176.0,35.0,0.0,0,0,0,3
2019,4,MCO,31454,BSB,30758,G3,3777,14,2.0,0,87120.0,352.0,99.0,0.0,0,0,0,2
2019,3,MCO,31454,BSB,30758,G3,3777,14,11.0,0,479160.0,1936.0,1347.0,0.0,0,0,0,1
2018,11,MCO,31454,BSB,30758,G3,3777,14,25.0,0,1089000.0,4400.0,2779.0,0.0,0,0,0,4
2019,2,MCO,31454,BSB,30758,G3,3777,14,28.0,0,1219680.0,4928.0,3678.0,0.0,0,0,0,1
2018,12,MCO,31454,BSB,30758,G3,3777,14,31.0,0,1350360.0,5456.0,3862.0,0.0,0,0,0,4
2019,1,MCO,31454,BSB,30758,G3,3777,14,31.0,0,1350360.0,5456.0,4310.0,0.0,0,0,0,1
2019,3,MCO,31454,CNF,30610,G3,4141,14,2.0,0,87120.0,352.0,0.0,0.0,0,0,0,1
2019,2,MCO,31454,CNF,30610,G3,4141,14,1.0,0,43560.0,176.0,0.0,0.0,0,0,0,1
2019,3,MCO,31454,FOR,31730,G3,3604,14,8.0,0,348480.0,1408.0,1000.0,0.0,0,0,0,1
2019,6,MCO,31454,FOR,31730,G3,3604,14,5.0,0,217800.0,880.0,288.0,0.0,0,0,0,2
2019,2,MCO,31454,FOR,31730,G3,3604,14,29.0,0,1263240.0,5104.0,3462.0,0.0,0,0,0,1
2019,5,MCO,31454,FOR,31730,G3,3604,14,3.0,0,130680.0,528.0,220.0,0.0,0,0,0,2
2018,12,MCO,31454,FOR,31730,G3,3604,14,26.0,0,1132560.0,4576.0,3508.0,0.0,0,0,0,4
2018,11,MCO,31454,FOR,31730,G3,3604,14,18.0,0,784080.0,3168.0,2231.0,0.0,0,0,0,4
2019,4,MCO,31454,FOR,31730,G3,3604,14,1.0,0,43560.0,176.0,81.0,0.0,0,0,0,2
2019,1,MCO,31454,FOR,31730,G3,3604,14,31.0,0,1350360.0,5456.0,4390.0,0.0,0,0,0,1
2019,8,MCO,31454,MIA,32467,G3,192,14,1.0,0,43560.0,176.0,145.0,0.0,0,0,0,3
2019,7,MCO,31454,MIA,32467,G3,192,14,2.0,0,87120.0,352.0,315.0,0.0,0,0,0,3
2019,6,MCO,31454,MIA,32467,G3,192,14,1.0,0,43560.0,176.0,120.0,0.0,0,0,0,2
2018,11,MCO,31454,PUJ,34293,G3,1064,14,1.0,0,43560.0,176.0,151.0,0.0,0,0,0,4
2019,5,MCO,31454,PUJ,34293,G3,1064,14,35.0,0,1524600.0,6160.0,5574.0,0.0,0,0,0,2
2019,4,MCO,31454,PUJ,34293,G3,1064,14,30.0,0,1306800.0,5280.0,4029.0,0.0,0,0,0,2
2019,3,MCO,31454,PUJ,34293,G3,1064,14,23.0,0,1001880.0,4048.0,3229.0,0.0,0,0,0,1
2019,9,MCO,31454,PUJ,34293,G3,1064,14,32.0,0,1393920.0,5632.0,4661.0,0.0,0,0,0,3
2019,8,MCO,31454,PUJ,34293,G3,1064,14,33.0,0,1437480.0,5818.0,4487.0,0.0,0,0,0,3
2019,7,MCO,31454,PUJ,34293,G3,1064,14,64.0,0,2787840.0,11264.0,8931.0,0.0,0,0,0,3
2019,6,MCO,31454,PUJ,34293,G3,1064,14,34.0,0,1481040.0,5984.0,4411.0,0.0,0,0,0,2
2019,2,MIA,32467,BFI,30559,G3,2725,14,1.0,0,43560.0,176.0,0.0,0.0,0,0,0,1
2018,12,MIA,32467,BSB,30758,G3,3599,14,31.0,0,1350360.0,5456.0,3759.0,0.0,0,0,0,4
2018,11,MIA,32467,BSB,30758,G3,3599,14,25.0,0,1089000.0,4400.0,2802.0,0.0,0,0,0,4
2019,3,MIA,32467,BSB,30758,G3,3599,14,11.0,0,479160.0,1936.0,1295.0,0.0,0,0,0,1
2019,2,MIA,32467,BSB,30758,G3,3599,14,28.0,0,1219680.0,4928.0,3710.0,0.0,0,0,0,1
2019,1,MIA,32467,BSB,30758,G3,3599,14,31.0,0,1350360.0,5456.0,4233.0,0.0,0,0,0,1
2019,7,MIA,32467,BSB,30758,G3,3599,14,1.0,0,43560.0,176.0,67.0,0.0,0,0,0,3
2019,4,MIA,32467,BSB,30758,G3,3599,14,1.0,0,43560.0,176.0,85.0,0.0,0,0,0,2
2019,2,MIA,32467,CNF,30610,G3,3963,14,2.0,0,87120.0,352.0,0.0,0.0,0,0,0,1
2019,3,MIA,32467,CNF,30610,G3,3963,14,2.0,0,87120.0,352.0,0.0,0.0,0,0,0,1
2019,4,MIA,32467,CNF,30610,G3,3963,12,1.0,0,35083.0,128.0,0.0,0.0,0,0,0,2
2019,6,MIA,32467,FOR,31730,G3,3458,14,3.0,0,130680.0,528.0,205.0,0.0,0,0,0,2
2019,8,MIA,32467,FOR,31730,G3,3458,14,9.0,0,392040.0,1594.0,760.0,0.0,0,0,0,3
2018,11,MIA,32467,FOR,31730,G3,3458,14,8.0,0,348480.0,1408.0,960.0,0.0,0,0,0,4
2018,12,MIA,32467,FOR,31730,G3,3458,14,15.0,0,653400.0,2640.0,1823.0,0.0,0,0,0,4
2019,1,MIA,32467,FOR,31730,G3,3458,14,31.0,0,1350360.0,5456.0,4235.0,0.0,0,0,0,1
2019,2,MIA,32467,FOR,31730,G3,3458,14,28.0,0,1219680.0,4928.0,3458.0,0.0,0,0,0,1
2019,3,MIA,32467,FOR,31730,G3,3458,14,9.0,0,392040.0,1584.0,1034.0,0.0,0,0,0,1
2019,9,MIA,32467,FOR,31730,G3,3458,14,3.0,0,130680.0,528.0,160.0,0.0,0,0,0,3
2019,7,MIA,32467,MCO,31454,G3,192,14,1.0,0,43560.0,176.0,164.0,0.0,0,0,0,3
2018,12,MIA,32467,NAT,33606,G3,3726,14,1.0,0,43560.0,176.0,122.0,0.0,0,0,0,4
2019,9,MIA,32467,PUJ,34293,G3,911,14,46.0,0,2003760.0,8096.0,6170.0,0.0,0,0,0,3
2018,11,MIA,32467,PUJ,34293,G3,911,14,1.0,0,43560.0,176.0,117.0,0.0,0,0,0,4
2019,3,MIA,32467,PUJ,34293,G3,911,14,18.0,0,784080.0,3168.0,2587.0,0.0,0,0,0,1
2019,6,MIA,32467,PUJ,34293,G3,911,14,33.0,0,1437480.0,5808.0,4550.0,0.0,0,0,0,2
2019,5,MIA,32467,PUJ,34293,G3,911,14,31.0,0,1350360.0,5456.0,4711.0,0.0,0,0,0,2
2019,4,MIA,32467,PUJ,34293,G3,911,14,29.0,0,1263240.0,5104.0,4025.0,0.0,0,0,0,2
2019,8,MIA,32467,PUJ,34293,G3,911,14,45.0,0,1960200.0,7930.0,6070.0,0.0,0,0,0,3
2019,7,MIA,32467,PUJ,34293,G3,911,14,17.0,0,740520.0,2992.0,2729.0,0.0,0,0,0,3
2019,9,MIA,32467,SBD,34691,G3,2275,12,1.0,0,35083.0,128.0,0.0,0.0,0,0,0,3
2019,9,MIA,32467,TUS,30436,G3,1900,12,1.0,0,35083.0,128.0,0.0,0.0,0,0,0,3
2019,2,MIA,32467,VQQ,31136,G3,320,12,1.0,0,35083.0,128.0,0.0,0.0,0,0,0,1
2019,2,MIA,32467,VQQ,31136,G3,320,14,2.0,0,87120.0,352.0,0.0,0.0,0,0,0,1
2018,10,PUJ,34293,FLL,32467,G3,913,14,1.0,0,43560.0,186.0,0.0,0.0,0,0,0,4
2019,5,PUJ,34293,MCO,31454,G3,1064,14,38.0,0,1655280.0,6688.0,5184.0,0.0,0,0,0,2
2019,1,PUJ,34293,MCO,31454,G3,1064,14,1.0,0,43560.0,176.0,162.0,0.0,0,0,0,1
2019,4,PUJ,34293,MCO,31454,G3,1064,14,32.0,0,1393920.0,5632.0,4688.0,0.0,0,0,0,2
2019,9,PUJ,34293,MCO,31454,G3,1064,14,32.0,0,1393920.0,5632.0,4680.0,0.0,0,0,0,3
2019,7,PUJ,34293,MCO,31454,G3,1064,14,54.0,0,2352240.0,9504.0,7527.0,0.0,0,0,0,3
2019,8,PUJ,34293,MCO,31454,G3,1064,14,34.0,0,1481040.0,5994.0,4725.0,0.0,0,0,0,3
2019,6,PUJ,34293,MCO,31454,G3,1064,14,42.0,0,1829520.0,7392.0,6037.0,0.0,0,0,0,2
2019,3,PUJ,34293,MCO,31454,G3,1064,14,20.0,0,871200.0,3520.0,2374.0,0.0,0,0,0,1
2018,11,PUJ,34293,MCO,31454,G3,1064,14,1.0,0,43560.0,176.0,130.0,0.0,0,0,0,4
2019,6,PUJ,34293,MIA,32467,G3,911,14,33.0,0,1437480.0,5808.0,4784.0,0.0,0,0,0,2
2019,4,PUJ,34293,MIA,32467,G3,911,14,29.0,0,1263240.0,5104.0,3979.0,0.0,0,0,0,2
2019,3,PUJ,34293,MIA,32467,G3,911,14,17.0,0,740520.0,2992.0,2463.0,0.0,0,0,0,1
2018,11,PUJ,34293,MIA,32467,G3,911,14,1.0,0,43560.0,176.0,149.0,0.0,0,0,0,4
2018,12,PUJ,34293,MIA,32467,G3,911,14,1.0,0,43560.0,176.0,148.0,0.0,0,0,0,4
2019,7,PUJ,34293,MIA,32467,G3,911,14,17.0,0,740520.0,2992.0,2742.0,0.0,0,0,0,3
2019,8,PUJ,34293,MIA,32467,G3,911,14,31.0,0,1350360.0,5466.0,4173.0,0.0,0,0,0,3
2019,9,PUJ,34293,MIA,32467,G3,911,14,33.0,0,1437480.0,5808.0,4874.0,0.0,0,0,0,3
2019,5,PUJ,34293,MIA,32467,G3,911,14,31.0,0,1350360.0,5456.0,4435.0,0.0,0,0,0,2
2019,4,VQQ,31136,MIA,32467,G3,320,12,1.0,0,35083.0,128.0,0.0,0.0,0,0,0,2
2019,2,VQQ,31136,MIA,32467,G3,320,14,1.0,0,43560.0,176.0,0.0,0.0,0,0,0,1
